score;completeness;rescuebot_action;rescuebot_location;charlie_action;charlie_location;name;competency_rescue_severelyInjured;competency_rescue_mildlyInjured;competency_arrival;willingness_search;willingness_response;willingness_rescue;world_nr;tick_nr
27;0.75;MoveWest;(13, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8347
27;0.75;MoveWest;(13, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8348
27;0.75;MoveWest;(12, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8349
27;0.75;MoveWest;(12, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8350
27;0.75;MoveWest;(12, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8351
27;0.75;MoveWest;(12, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8352
27;0.75;MoveWest;(12, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8353
27;0.75;MoveWest;(12, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8354
27;0.75;MoveWest;(12, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8355
27;0.75;MoveWest;(12, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8356
27;0.75;MoveWest;(12, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8357
27;0.75;MoveWest;(11, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8358
27;0.75;MoveWest;(11, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8359
27;0.75;MoveWest;(11, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8360
27;0.75;MoveWest;(11, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8361
27;0.75;MoveWest;(11, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8362
27;0.75;MoveWest;(11, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8363
27;0.75;MoveWest;(11, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8364
27;0.75;MoveWest;(11, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8365
27;0.75;MoveWest;(11, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8366
27;0.75;MoveWest;(10, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8367
27;0.75;MoveWest;(10, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8368
27;0.75;MoveWest;(10, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8369
27;0.75;MoveWest;(10, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8370
27;0.75;MoveWest;(10, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8371
27;0.75;MoveWest;(10, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8372
27;0.75;MoveWest;(10, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8373
27;0.75;MoveWest;(10, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8374
27;0.75;MoveWest;(10, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8375
27;0.75;MoveWest;(9, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8376
27;0.75;MoveNorth;(9, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8377
27;0.75;MoveNorth;(9, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8378
27;0.75;MoveNorth;(9, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8379
